erb,bw,itd,thr
50.0,25.0,0.0,44.53
50.0,50.0,0.0,46.03
50.0,100.0,0.0,46.4
50.0,150.0,0.0,46.13
50.0,200.0,0.0,46.57
50.0,1000.0,0.0,46.37
50.0,25.0,0.002,45.47
50.0,50.0,0.002,48.83
50.0,100.0,0.002,50.67
50.0,150.0,0.002,50.73
50.0,200.0,0.002,50.57
50.0,1000.0,0.002,50.97
50.0,25.0,0.004,47.87
50.0,50.0,0.004,51.57
50.0,100.0,0.004,54.0
50.0,150.0,0.004,54.53
50.0,200.0,0.004,54.87
50.0,1000.0,0.004,54.7
50.0,25.0,0.008,50.47
50.0,50.0,0.008,55.6
50.0,100.0,0.008,58.33
50.0,150.0,0.008,58.87
50.0,200.0,0.008,58.37
50.0,1000.0,0.008,58.3
50.0,25.0,inf,60.87
50.0,50.0,inf,61.53
50.0,100.0,inf,62.47
50.0,150.0,inf,62.53
50.0,200.0,inf,62.13
50.0,1000.0,inf,62.9
60.0,25.0,0.0,43.9
60.0,50.0,0.0,45.53
60.0,100.0,0.0,46.23
60.0,150.0,0.0,46.2
60.0,200.0,0.0,46.67
60.0,1000.0,0.0,46.57
60.0,25.0,0.002,44.93
60.0,50.0,0.002,48.13
60.0,100.0,0.002,50.33
60.0,150.0,0.002,50.7
60.0,200.0,0.002,50.97
60.0,1000.0,0.002,51.2
60.0,25.0,0.004,46.9
60.0,50.0,0.004,51.0
60.0,100.0,0.004,54.13
60.0,150.0,0.004,54.8
60.0,200.0,0.004,54.67
60.0,1000.0,0.004,54.87
60.0,25.0,0.008,49.73
60.0,50.0,0.008,54.8
60.0,100.0,0.008,58.4
60.0,150.0,0.008,58.47
60.0,200.0,0.008,58.73
60.0,1000.0,0.008,58.47
60.0,25.0,inf,60.0
60.0,50.0,inf,61.4
60.0,100.0,inf,61.8
60.0,150.0,inf,62.13
60.0,200.0,inf,62.03
60.0,1000.0,inf,62.33
79.0,25.0,0.0,43.33
79.0,50.0,0.0,45.1
79.0,100.0,0.0,46.53
79.0,150.0,0.0,46.37
79.0,200.0,0.0,46.7
79.0,1000.0,0.0,46.13
79.0,25.0,0.002,44.13
79.0,50.0,0.002,47.97
79.0,100.0,0.002,50.53
79.0,150.0,0.002,51.03
79.0,200.0,0.002,51.43
79.0,1000.0,0.002,51.53
79.0,25.0,0.004,45.87
79.0,50.0,0.004,50.73
79.0,100.0,0.004,54.23
79.0,150.0,0.004,55.2
79.0,200.0,0.004,55.33
79.0,1000.0,0.004,55.3
79.0,25.0,0.008,48.93
79.0,50.0,0.008,54.47
79.0,100.0,0.008,58.5
79.0,150.0,0.008,59.3
79.0,200.0,0.008,59.4
79.0,1000.0,0.008,59.2
79.0,25.0,inf,59.03
79.0,50.0,inf,60.83
79.0,100.0,inf,61.33
79.0,150.0,inf,61.8
79.0,200.0,inf,61.47
79.0,1000.0,inf,61.67
100.0,25.0,0.0,42.67
100.0,50.0,0.0,44.6
100.0,100.0,0.0,46.27
100.0,150.0,0.0,46.53
100.0,200.0,0.0,46.2
100.0,1000.0,0.0,46.43
100.0,25.0,0.002,43.63
100.0,50.0,0.002,47.17
100.0,100.0,0.002,49.87
100.0,150.0,0.002,51.27
100.0,200.0,0.002,51.47
100.0,1000.0,0.002,52.03
100.0,25.0,0.004,45.27
100.0,50.0,0.004,49.77
100.0,100.0,0.004,54.1
100.0,150.0,0.004,55.43
100.0,200.0,0.004,55.83
100.0,1000.0,0.004,55.5
100.0,25.0,0.008,48.0
100.0,50.0,0.008,53.53
100.0,100.0,0.008,58.47
100.0,150.0,0.008,59.37
100.0,200.0,0.008,59.27
100.0,1000.0,0.008,58.93
100.0,25.0,inf,58.53
100.0,50.0,inf,59.43
100.0,100.0,inf,61.03
100.0,150.0,inf,61.13
100.0,200.0,inf,61.23
100.0,1000.0,inf,61.3
130.0,25.0,0.0,42.8
130.0,50.0,0.0,44.8
130.0,100.0,0.0,46.23
130.0,150.0,0.0,46.73
130.0,200.0,0.0,46.63
130.0,1000.0,0.0,46.7
130.0,25.0,0.002,43.73
130.0,50.0,0.002,47.37
130.0,100.0,0.002,50.27
130.0,150.0,0.002,51.8
130.0,200.0,0.002,52.2
130.0,1000.0,0.002,52.53
130.0,25.0,0.004,44.77
130.0,50.0,0.004,49.93
130.0,100.0,0.004,54.33
130.0,150.0,0.004,55.8
130.0,200.0,0.004,55.73
130.0,1000.0,0.004,56.2
130.0,25.0,0.008,48.0
130.0,50.0,0.008,53.5
130.0,100.0,0.008,58.6
130.0,150.0,0.008,59.73
130.0,200.0,0.008,59.1
130.0,1000.0,0.008,59.53
130.0,25.0,inf,58.1
130.0,50.0,inf,59.73
130.0,100.0,inf,60.6
130.0,150.0,inf,60.87
130.0,200.0,inf,61.2
130.0,1000.0,inf,61.2
,25.0,0.0,44.17
,25.0,0.002,45.33
,25.0,0.004,48.58
,25.0,0.008,51.33
,25.0,inf,56.75
,50.0,0.0,45.67
,50.0,0.002,48.5
,50.0,0.004,53.17
,50.0,0.008,55.25
,50.0,inf,58.5
,100.0,0.0,45.75
,100.0,0.002,50.33
,100.0,0.004,55.83
,100.0,0.008,58.33
,100.0,inf,59.42
,150.0,0.0,45.92
,150.0,0.002,50.08
,150.0,0.004,53.83
,150.0,0.008,59.5
,150.0,inf,60.17
,200.0,0.0,46.33
,200.0,0.002,50.42
,200.0,0.004,55.08
,200.0,0.008,58.58
,200.0,inf,60.17
,1000.0,0.0,46.33
,1000.0,0.002,50.67
,1000.0,0.004,55.33
,1000.0,0.008,58.83
,1000.0,inf,58.58
